Year,Age,Ethnic,Sex,Area,count
2013,65-69 years,Maori,Male,Auckland Region,1254
2013,65-69 years,Maori,Female,Auckland Region,1434
2013,65-69 years,Maori,Total people - sex,Auckland Region,2685
2013,65-69 years,Pacific Peoples,Male,Auckland Region,1773
2013,65-69 years,Pacific Peoples,Female,Auckland Region,2022
2013,65-69 years,Pacific Peoples,Total people - sex,Auckland Region,3795
2013,65-69 years,Asian,Male,Auckland Region,3540
2013,65-69 years,Asian,Female,Auckland Region,3852
2013,65-69 years,Asian,Total people - sex,Auckland Region,7395
2013,65-69 years,Middle Eastern/Latin American/African,Male,Auckland Region,204
2013,65-69 years,Middle Eastern/Latin American/African,Female,Auckland Region,171
2013,65-69 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,375
2013,65-69 years,Other ethnicity,Male,Auckland Region,477
2013,65-69 years,Other ethnicity,Female,Auckland Region,312
2013,65-69 years,Other ethnicity,Total people - sex,Auckland Region,789
2013,65-69 years,Not elsewhere included,Male,Auckland Region,1458
2013,65-69 years,Not elsewhere included,Female,Auckland Region,1506
2013,65-69 years,Not elsewhere included,Total people - sex,Auckland Region,2964
2013,65-69 years,Total people,Male,Auckland Region,26379
2013,65-69 years,Total people,Female,Auckland Region,28269
2013,65-69 years,Total people,Total people - sex,Auckland Region,54648
2013,70-74 years,European,Male,Auckland Region,13719
2013,70-74 years,European,Female,Auckland Region,14958
2013,70-74 years,European,Total people - sex,Auckland Region,28680
2013,70-74 years,Maori,Male,Auckland Region,771
2013,70-74 years,Maori,Female,Auckland Region,996
2013,70-74 years,Maori,Total people - sex,Auckland Region,1767
2013,70-74 years,Pacific Peoples,Male,Auckland Region,1188
2013,70-74 years,Pacific Peoples,Female,Auckland Region,1515
2013,70-74 years,Pacific Peoples,Total people - sex,Auckland Region,2706
2013,70-74 years,Asian,Male,Auckland Region,2514
2013,70-74 years,Asian,Female,Auckland Region,2793
2013,70-74 years,Asian,Total people - sex,Auckland Region,5310
2013,70-74 years,Middle Eastern/Latin American/African,Male,Auckland Region,120
2013,70-74 years,Middle Eastern/Latin American/African,Female,Auckland Region,132
2013,70-74 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,252
2013,70-74 years,Other ethnicity,Male,Auckland Region,297
2013,70-74 years,Other ethnicity,Female,Auckland Region,228
2013,70-74 years,Other ethnicity,Total people - sex,Auckland Region,528
2013,70-74 years,Not elsewhere included,Male,Auckland Region,1050
2013,70-74 years,Not elsewhere included,Female,Auckland Region,1086
2013,70-74 years,Not elsewhere included,Total people - sex,Auckland Region,2136
2013,70-74 years,Total people,Male,Auckland Region,19302
2013,70-74 years,Total people,Female,Auckland Region,21243
2013,70-74 years,Total people,Total people - sex,Auckland Region,40542
2013,75-79 years,European,Male,Auckland Region,9240
2013,75-79 years,European,Female,Auckland Region,11004
2013,75-79 years,European,Total people - sex,Auckland Region,20241
2013,75-79 years,Maori,Male,Auckland Region,435
2013,75-79 years,Maori,Female,Auckland Region,609
2013,75-79 years,Maori,Total people - sex,Auckland Region,1047
2013,75-79 years,Pacific Peoples,Male,Auckland Region,714
2013,75-79 years,Pacific Peoples,Female,Auckland Region,1020
2013,75-79 years,Pacific Peoples,Total people - sex,Auckland Region,1734
2013,75-79 years,Asian,Male,Auckland Region,1809
2013,75-79 years,Asian,Female,Auckland Region,1809
2013,75-79 years,Asian,Total people - sex,Auckland Region,3618
2013,75-79 years,Middle Eastern/Latin American/African,Male,Auckland Region,72
2013,75-79 years,Middle Eastern/Latin American/African,Female,Auckland Region,96
2013,75-79 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,168
2013,75-79 years,Other ethnicity,Male,Auckland Region,159
2013,75-79 years,Other ethnicity,Female,Auckland Region,111
2013,75-79 years,Other ethnicity,Total people - sex,Auckland Region,270
2013,75-79 years,Not elsewhere included,Male,Auckland Region,624
2013,75-79 years,Not elsewhere included,Female,Auckland Region,684
2013,75-79 years,Not elsewhere included,Total people - sex,Auckland Region,1308
2013,75-79 years,Total people,Male,Auckland Region,12846
2013,75-79 years,Total people,Female,Auckland Region,14997
2013,75-79 years,Total people,Total people - sex,Auckland Region,27846
2013,80-84 years,European,Male,Auckland Region,7101
2013,80-84 years,European,Female,Auckland Region,9327
2013,80-84 years,European,Total people - sex,Auckland Region,16431
2013,80-84 years,Maori,Male,Auckland Region,177
2013,80-84 years,Maori,Female,Auckland Region,348
2013,80-84 years,Maori,Total people - sex,Auckland Region,528
2013,80-84 years,Pacific Peoples,Male,Auckland Region,366
2013,80-84 years,Pacific Peoples,Female,Auckland Region,600
2013,80-84 years,Pacific Peoples,Total people - sex,Auckland Region,966
2013,80-84 years,Asian,Male,Auckland Region,813
2013,80-84 years,Asian,Female,Auckland Region,894
2013,80-84 years,Asian,Total people - sex,Auckland Region,1710
2013,80-84 years,Middle Eastern/Latin American/African,Male,Auckland Region,42
2013,80-84 years,Middle Eastern/Latin American/African,Female,Auckland Region,45
2013,80-84 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,87
2013,80-84 years,Other ethnicity,Male,Auckland Region,84
2013,80-84 years,Other ethnicity,Female,Auckland Region,66
2013,80-84 years,Other ethnicity,Total people - sex,Auckland Region,150
2013,80-84 years,Not elsewhere included,Male,Auckland Region,447
2013,80-84 years,Not elsewhere included,Female,Auckland Region,540
2013,80-84 years,Not elsewhere included,Total people - sex,Auckland Region,984
2013,80-84 years,Total people,Male,Auckland Region,8913
2013,80-84 years,Total people,Female,Auckland Region,11634
2013,80-84 years,Total people,Total people - sex,Auckland Region,20544
2013,85-89 years,European,Male,Auckland Region,4128
2013,85-89 years,European,Female,Auckland Region,6747
2013,85-89 years,European,Total people - sex,Auckland Region,10878
2013,85-89 years,Maori,Male,Auckland Region,57
2013,85-89 years,Maori,Female,Auckland Region,120
2013,85-89 years,Maori,Total people - sex,Auckland Region,177
2013,85-89 years,Pacific Peoples,Male,Auckland Region,129
2013,85-89 years,Pacific Peoples,Female,Auckland Region,303
2013,85-89 years,Pacific Peoples,Total people - sex,Auckland Region,435
2013,85-89 years,Asian,Male,Auckland Region,255
2013,85-89 years,Asian,Female,Auckland Region,390
2013,85-89 years,Asian,Total people - sex,Auckland Region,645
2013,85-89 years,Middle Eastern/Latin American/African,Male,Auckland Region,24
2013,85-89 years,Middle Eastern/Latin American/African,Female,Auckland Region,30
2013,85-89 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,51
2013,85-89 years,Other ethnicity,Male,Auckland Region,27
2013,85-89 years,Other ethnicity,Female,Auckland Region,36
2013,85-89 years,Other ethnicity,Total people - sex,Auckland Region,66
2013,85-89 years,Not elsewhere included,Male,Auckland Region,264
2013,85-89 years,Not elsewhere included,Female,Auckland Region,354
2013,85-89 years,Not elsewhere included,Total people - sex,Auckland Region,618
2013,85-89 years,Total people,Male,Auckland Region,4845
2013,85-89 years,Total people,Female,Auckland Region,7878
